Cobie,0,10978.39,0,pumpfun,[]
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
SFM,"{'usd': 74339.96, 'base': 90157156, 'quote': 207.1257}",2478456.73,0,raydium,[]
cbBTC,"{'usd': 2318894.86, 'base': 13.8169, 'quote': 997685}",6635122.78,0,orca,[]
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
SFM,"{'usd': 74339.96, 'base': 90157156, 'quote': 207.1257}",2478456.73,0,raydium,[]
cbBTC,"{'usd': 2318894.86, 'base': 13.8169, 'quote': 997685}",6635122.78,0,orca,[]
WBTC,"{'usd': 5775652.58, 'base': 9.7976, 'quote': 27075}",17206882.52,0,orca,[]
MARS,0,12855.55,0,pumpfun,[]
arc,"{'usd': 6057241.82, 'base': 14831720, 'quote': 16970}",11600163.98,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/arcdotfun'}, {'type': 'telegram', 'url': 'https://t.me/arcfunportal'}]"
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
SFM,"{'usd': 74339.96, 'base': 90157156, 'quote': 207.1257}",2478456.73,0,raydium,[]
cbBTC,"{'usd': 2318894.86, 'base': 13.8169, 'quote': 997685}",6635122.78,0,orca,[]
WBTC,"{'usd': 5775652.58, 'base': 9.7976, 'quote': 27075}",17206882.52,0,orca,[]
MARS,0,12855.55,0,pumpfun,[]
arc,"{'usd': 6057241.82, 'base': 14831720, 'quote': 16970}",11600163.98,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/arcdotfun'}, {'type': 'telegram', 'url': 'https://t.me/arcfunportal'}]"
MEMDEX,"{'usd': 1031454.22, 'base': 26645161, 'quote': 2891.3856}",1802326.68,0,raydium,"[{'url': 'https://x.com/thememdex100', 'type': 'twitter'}, {'url': 'https://t.me/memdex100', 'type': 'telegram'}]"
cpm,"{'usd': 45167.26, 'base': 155773515, 'quote': 126.4244}",1669222.26,0,raydium,[]
DOJ,"{'usd': 15820.51, 'base': 396755104, 'quote': 43.776}",258497.93,0,raydium,[]
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
SFM,"{'usd': 74339.96, 'base': 90157156, 'quote': 207.1257}",2478456.73,0,raydium,[]
cbBTC,"{'usd': 2318894.86, 'base': 13.8169, 'quote': 997685}",6635122.78,0,orca,[]
WBTC,"{'usd': 5775652.58, 'base': 9.7976, 'quote': 27075}",17206882.52,0,orca,[]
MARS,0,12855.55,0,pumpfun,[]
arc,"{'usd': 6057241.82, 'base': 14831720, 'quote': 16970}",11600163.98,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/arcdotfun'}, {'type': 'telegram', 'url': 'https://t.me/arcfunportal'}]"
MEMDEX,"{'usd': 1031454.22, 'base': 26645161, 'quote': 2891.3856}",1802326.68,0,raydium,"[{'url': 'https://x.com/thememdex100', 'type': 'twitter'}, {'url': 'https://t.me/memdex100', 'type': 'telegram'}]"
cpm,"{'usd': 45167.26, 'base': 155773515, 'quote': 126.4244}",1669222.26,0,raydium,[]
DOJ,"{'usd': 15820.51, 'base': 396755104, 'quote': 43.776}",258497.93,0,raydium,[]
mc,0,56839.32,0,pumpfun,[]
Cobie,0,10978.39,0,pumpfun,[]
PiAI,"{'usd': 45397.61, 'base': 2051837521064069, 'quote': 127.0363}",220365.69,0,raydium,"[{'type': 'twitter', 'url': 'https://x.com/Pi_Network_AI'}, {'type': 'telegram', 'url': 'https://t.me/PIAIOFFICIAL'}]"
TATE,0,1433.77,0,pumpfun,[]
SFM,"{'usd': 74339.96, 'base': 90157156, 'quote': 207.1257}",2478456.73,0,raydium,[]
cbBTC,"{'usd': 2318894.86, 'base': 13.8169, 'quote': 997685}",6635122.78,0,orca,[]
WBTC,"{'usd': 5775652.58, 'base': 9.7976, 'quote': 27075}",17206882.52,0,orca,[]
MARS,0,12855.55,0,pumpfun,[]
